Occurred,Lon,Lat,City,State,Country,Shape,Summary,Media,Explanation
4/22/2025,-97.155012,32.8809603,Colleyville,TX,USA,Other,"Indeterminate shape, red and blue lights alternate. Moves erratically, zig zags or makes small circles. ((NUFORC Note: Star?? PD))",,
8/4/2004,-104.830994,39.7405111,Aurora,CO,USA,Light,small faint star like object crosses the sky from the NW to SW then as the object got farther to the SE it faded and vanished..,,
4/7/1953,-78.6093257,35.3076902,Dunn,NC,USA,Triangle,"Triangular UFO's seen in Dunn, NC on 07/29/2011",,
4/16/1960,-83.9845723,34.5328484,Dahlonega,GA,USA,Circle,"Bright orange sphere. ((NUFORC Note: Source remains anonymous. Possible hoax, we wonder? PD))",,
12/30/2006,-104.984862,39.7392364,Denver,CO,USA,Light,"Colorado Southeastern sky. ((NUFORC Note: Possible sighting of the star, Sirius?? PD))",,
6/17/1977,-76.2521521,35.9176633,Columbia,NC,USA,Oval,As I stood in my yard the object came toward me. Hovered above my yard at 100ft for ten mins. Rotated west and moved on.,,
4/9/1941,-100.0170787,37.7527982,Dodge City,KS,USA,Other,"1/02/2012 Dodge City heading west kind of along Hwy. 50 two shiny black, appears smooth, has no vapor shaped like the “bat sign”",,
11/16/2003,-117.566444,33.8752945,Corona,CA,USA,Light,"two white lights with red light blinking back and forth,moving to the right then back to the left.",,
11/4/2005,-119.7029194,36.8252277,Clovis,CA,USA,Fireball,"Bright orange fireball traveling from due east to due west. Visible for a second, is all I witnessed.",,
6/28/2008,-117.903317,33.6633386,Costa Mesa,CA,USA,Other,"Extremely fast, dark gray colored octagonal craft with equidistant dim red lights",,
4/10/1947,-121.739005,38.5435526,Davis,CA,USA,Circle,A fuzzy orange ball of light first seen as star approaches quickly before making turn and climing out of sight.,,
4/11/2003,-80.8430827,35.2272086,Charlotte,NC,USA,Egg,Brief sighting of Egg/Orb heading North to South,,
4/3/2003,-96.66758607,33.07498545,Allen,TX,USA,Light,"Very Bright blinking light in sky, brightest light I have ever seen.",,
8/16/2005,-122.0335624,37.9768525,Concord,CA,USA,Other,shape changing ribbonlike objectwith lights at each end,,
12/20/2018,-81.8039916,35.0167918,Cowpens,SC,USA,Light,It was almost invisible other than the 3 white lights leaving behind a trail,,
5/21/2003,-106.4855177,35.1514975,Albuquerque,NM,USA,Triangle,The item I believe I saw was at approx 12:00 noon on 05/21/03.I was working as a gateguard. I looked up into the Northern clear blue sk,,
12/7/2020,-104.825348,38.8339578,Colorado Springs,CO,USA,Triangle,"Triangular object, white lights, silent but incredibly fast.",,
2/20/2009,-92.505969,30.2368713,Egan,LA,USA,Diamond,"Diamond Light Near Egan, LA.",,
4/7/2026,-80.8430827,35.2272086,Charlotte,NC,USA,Cross,me and my friends were at a youth rock concert and we saw 2 to 4 cross shaped craft hover over the football field. I am pretty sure tha,,
4/8/1962,-88.4069744,44.2613967,Appleton,WI,USA,Circle,"Two lights (initially looked like airplane lights) lower than airplanes should be, were blinking. The light on the left disappeared whi",,
4/22/1967,-104.984862,39.7392364,Denver,CO,USA,Formation,"Five bright red lights holding position in fixed formation, heading 110 Degrees due east of Denver, three static in triangle, two flash",,
9/11/2000,-89.3501172,36.9233026,Charleston,MO,USA,Triangle,TRIANGLE SHAPE CRAFT,,
6/15/2003,-123.024526,43.9179023,Creswell,OR,USA,Other,i could tell you this: IT WAS NOT AN AIRPLANE!,,
4/15/1935,-84.1593818,39.6283928,Centerville,OH,USA,Triangle,"Large Triangle shaped flying object was perfectly stationary then moved in a curve away from us over Centerville, Ohio off 675.",,
7/31/2019,-87.3588703,36.5277607,Clarksville,TN,USA,Light,Witness encountered bright white light that approached her car from the left and then zipped to the right,,
2/6/2022,-97.68606624,30.256999399999998,Austin,TX,USA,Oval,"I was trying to take a pic of an unusual Moon shape that I had never seen.The Moon wd not show up in my phone camera lens, just Lights.",Y,
2/1/2024,-104.825348,38.8339578,Colorado Springs,CO,USA,Orb,"7 red orbs, gaining speed and elevation, fly from south to north directly overhead before disappearing",Y,
5/5/2020,-119.59295,39.2371689,Dayton,NV,USA,Flash,"White Dot Lights (WDL) that Flash seen over Dayton, Nevada",,
4/29/2001,-96.6848271,44.7563908,Clear Lake,SD,USA,Flash,A light dips down and disappears in a flash. ((anonymous report)),,
4/7/1962,-116.962526,32.7947731,El Cajon,CA,USA,Formation,3 long shaped triangle ufo formation,,
4/5/1962,-76.8815207,38.8622077,District Heights,MD,USA,Flash,Last Tuesday night i was in my bedroom had the TV and listening to a gospel cd I brought on my computer when I heard this loud noise go,,
3/10/2020,-96.880011,35.7032002,Chandler,OK,USA,Circle,Small slow white ufo. ((anonymous report)),,
